"All groups CPI, quarterly movement (%)"
"All Groups CPI, Percentage change from previous quarter","Percentage change from previous quarter (%)","Weighted average of eight capital cities percentage change from previous quarter (%)"
"Weighted average of eight capital cities",,"0.9"
"Sydney","0.9",
"Melbourne","0.9",
"Brisbane","1.9",
"Adelaide","0.5",
"Perth","0.5",
"Hobart","0.8",
"Darwin","0.7",
"Canberra","0.9",

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March Quarter 2025"