"New dwellings, quarterly and annual movement (%)"
,"Change from previous quarter (%)","Annual change (%)"
"Mar-15","0.9","4.8"
"Jun-15","1.5","4.8"
"Sep-15","0.7","4.3"
"Dec-15","0.1","3.3"
"Mar-16","0.2","2.5"
"Jun-16","0.9","1.9"
"Sep-16","0.4","1.6"
"Dec-16","0.5","2.0"
"Mar-17","1.0","2.8"
"Jun-17","0.9","2.8"
"Sep-17","0.8","3.1"
"Dec-17","0.6","3.2"
"Mar-18","0.5","2.7"
"Jun-18","0.8","2.7"
"Sep-18","0.1","2.0"
"Dec-18","0.4","1.8"
"Mar-19","-0.2","1.2"
"Jun-19","-0.2","0.2"
"Sep-19","-0.2","-0.1"
"Dec-19","0.4","-0.1"
"Mar-20","0.4","0.5"
"Jun-20","0.1","0.7"
"Sep-20","0.5","1.4"
"Dec-20","0.7","1.7"
"Mar-21","-0.1","1.2"
"Jun-21","-0.1","1.0"
"Sep-21","3.3","3.8"
"Dec-21","4.2","7.5"
"Mar-22","5.7","13.7"
"Jun-22","5.6","20.3"
"Sep-22","3.7","20.7"
"Dec-22","1.7","17.8"
"Mar-23","1.2","12.7"
"Jun-23","1.0","7.8"
"Sep-23","1.3","5.2"
"Dec-23","1.5","5.1"
"Mar-24","1.1","5.0"
"Jun-24","1.1","5.1"
"Sep-24","1.0","4.8"
"Dec-24","-0.2","2.9"
"Mar-25","-0.4","1.4"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March Quarter 2025"